availability_30,availability_60,availability_90,availability_365
17,40,58,316
0,0,0,0
4,11,18,152
2,2,29,296
29,59,89,364
22,34,54,329
29,59,89,364
30,60,90,347
0,0,0,0
4,24,49,49
0,0,0,0
30,57,79,343
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,33
0,0,0,0
22,33,53,280
9,39,69,256
0,0,0,0
28,58,88,363
0,0,0,0
0,0,0,0
5,35,65,340
0,8,32,251
0,0,0,0
25,55,85,321
9,19,34,77
0,0,0,163
0,0,0,0
10,25,55,261
21,33,43,286
0,0,0,17
7,30,60,80
23,53,83,358
0,0,0,0
0,16,30,120
23,53,83,358
0,0,0,0
10,34,64,137
0,0,0,0
2,4,14,252
30,60,90,365
0,0,7,144
20,50,80,340
0,0,0,0
16,33,33,220
12,42,72,347
0,0,0,0
0,0,0,0
26,56,86,361
30,60,90,365
5,9,13,43
14,29,59,334
22,45,67,310
23,53,83,358
0,0,0,0
0,0,0,0
7,16,22,191
0,0,0,0
30,60,90,270
0,0,0,0
11,32,57,321
22,52,82,348
29,59,89,357
30,60,90,365
26,56,86,361
16,46,73,348
0,0,0,0
2,24,51,56
9,39,69,329
8,20,29,295
6,30,46,280
3,21,44,282
1,1,20,271
22,52,82,357
0,0,0,0
0,0,0,0
14,33,63,334
9,14,37,305
0,3,12,132
23,53,83,358
0,0,0,0
29,59,89,364
6,28,53,328
0,0,0,0
29,59,89,324
30,60,90,365
26,43,71,92
0,0,0,0
4,12,35,225
29,59,89,89
4,11,29,289
0,0,0,0
14,44,74,349
3,4,14,96
24,51,75,230
2,7,13,176
30,60,90,365
15,35,62,84
0,0,0,0
23,53,83,358
14,35,40,235
8,38,61,297
16,27,47,73
30,60,90,365
28,58,88,88
0,0,0,0
0,0,0,0
8,16,39,286
28,58,88,363
8,26,49,63
5,33,42,298
15,44,66,339
0,0,0,0
2,24,45,306
29,59,89,364
0,0,0,0
6,29,46,46
0,0,0,0
30,60,90,365
10,10,10,48
4,27,57,332
0,16,46,183
11,29,59,149
28,58,88,363
0,0,0,0
0,0,0,0
30,60,90,365
10,40,70,209
23,53,75,311
0,0,0,0
10,15,30,286
27,57,87,177
12,23,26,291
30,60,90,365
8,12,14,14
25,55,85,308
4,10,37,306
0,0,0,188
29,59,89,364
27,57,87,362
0,0,0,0
30,60,90,365
3,9,24,259
29,59,89,89
0,0,0,0
0,0,0,0
30,60,90,365
4,11,27,272
30,60,90,365
0,0,0,0
0,0,0,0
7,35,65,155
0,0,0,0
13,19,40,122
23,53,83,358
23,53,83,173
4,23,53,325
14,31,61,336
23,51,81,304
12,39,66,338
0,0,0,226
23,40,70,70
23,53,83,83
29,59,89,364
8,29,52,135
0,11,38,39
20,50,80,133
4,15,24,245
0,1,3,112
30,48,66,322
10,40,70,71
9,39,69,69
30,60,90,365
0,0,0,0
0,0,0,0
0,25,55,330
21,38,68,342
0,0,0,0
0,0,0,0
0,0,0,0
30,60,90,365
24,54,84,359
0,0,0,0
0,0,0,0
7,13,21,229
0,0,0,0
30,60,90,365
8,26,56,137
0,0,0,0
3,3,3,3
27,57,87,362
23,53,83,83
0,0,0,0
26,52,82,347
29,59,89,89
25,45,50,276
7,9,10,73
0,0,0,0
5,15,45,226
0,11,36,200
0,0,0,0
3,18,30,205
30,60,90,365
4,10,22,233
17,42,69,341
29,59,89,364
0,0,1,210
0,0,0,179
0,0,0,0
0,0,0,0
0,0,0,0
24,24,24,242
8,26,26,26
5,21,37,37
2,8,17,58
19,41,64,150
0,0,0,0
21,51,81,159
16,29,29,160
9,39,69,344
0,16,45,45
4,14,37,205
6,31,61,151
0,0,0,0
5,30,60,319
0,8,24,169
18,47,64,334
2,15,45,45
0,0,0,0
30,60,90,90
0,0,0,0
8,8,8,8
0,0,0,0
11,37,67,155
0,3,24,105
4,7,25,31
11,38,59,301
0,0,0,0
0,0,0,0
29,59,89,89
30,60,90,365
10,40,70,345
0,0,0,249
0,0,0,0
0,5,16,95
0,0,0,0
0,15,15,144
0,0,0,0
0,0,0,0
1,26,52,52
0,0,0,207
0,0,0,0
0,0,0,0
26,56,86,361
26,56,71,315
0,0,0,0
4,15,40,128
0,0,0,0
0,0,0,0
0,0,0,0
27,57,87,362
0,0,0,0
0,0,0,0
0,0,0,0
23,39,65,321
23,53,83,358
0,0,0,0
0,0,0,46
28,58,88,88
0,0,0,0
0,0,0,47
30,60,90,365
3,3,6,199
28,58,88,363
20,36,44,72
0,0,0,0
0,2,13,60
4,8,12,209
0,0,0,0
0,0,0,0
6,36,41,271
22,44,72,166
21,23,23,79
27,57,87,341
13,19,30,219
5,35,65,335
0,0,0,262
0,5,5,108
27,57,87,361
30,60,90,365
0,0,0,0
0,0,0,36
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,1
25,55,85,172
25,55,85,355
27,57,87,87
13,30,56,273
0,0,0,0
6,23,49,309
8,33,63,320
0,0,0,0
3,3,3,28
0,0,0,0
6,29,59,148
29,59,89,364
0,0,0,0
2,2,2,251
0,0,0,0
20,50,80,352
30,60,90,365
28,58,88,178
28,58,88,363
0,0,0,0
29,59,89,364
0,0,0,0
5,20,39,284
0,0,0,0
0,0,0,0
0,2,27,235
1,1,5,116
0,0,0,0
1,11,36,36
0,0,0,0
28,58,88,363
30,60,90,365
4,34,64,339
0,0,0,0
28,58,88,88
28,57,87,353
0,0,0,0
1,5,8,184
13,36,66,156
29,59,89,364
0,0,0,0
29,59,89,89
29,59,89,364
0,0,0,0
5,15,21,229
6,19,42,187
0,0,0,0
0,26,56,222
0,1,2,97
29,59,89,179
18,18,18,18
15,30,44,273
30,60,90,365
30,60,90,365
0,0,0,0
29,59,89,89
6,10,22,170
0,0,0,0
0,0,0,0
0,0,0,0
5,25,49,75
8,9,20,252
0,0,0,0
0,0,0,0
17,30,44,285
0,0,0,0
0,0,0,0
19,45,75,350
7,10,26,228
0,4,5,68
8,21,39,120
25,29,59,222
14,14,14,14
20,50,80,170
5,24,54,329
0,0,0,0
29,59,89,364
2,4,5,98
7,13,30,238
9,39,63,323
6,36,66,341
8,15,17,274
0,0,0,0
22,52,82,82
2,26,56,331
30,60,90,365
17,38,57,325
27,57,87,362
0,24,54,329
0,1,6,198
0,0,0,0
8,14,29,81
29,59,89,364
9,24,44,310
15,30,30,254
4,14,26,297
4,9,15,17
8,15,20,253
0,0,0,211
12,14,26,97
0,0,0,0
11,41,59,324
9,27,48,287
0,5,5,48
3,4,6,96
8,20,25,152
30,60,90,365
0,0,0,0
0,0,0,0
4,34,64,339
3,12,32,282
0,0,0,10
2,6,8,202
0,0,0,0
29,59,89,364
25,55,85,360
0,0,13,243
6,27,57,302
0,0,0,0
0,0,0,216
30,60,90,90
0,0,0,221
0,0,0,72
0,0,0,0
25,55,85,175
29,59,89,364
0,0,0,0
29,59,89,364
29,56,82,247
30,60,90,90
30,60,90,365
18,31,52,52
21,41,53,53
8,26,50,320
30,60,90,365
4,12,28,179
21,51,81,356
0,0,0,0
5,32,62,152
0,0,0,0
0,9,39,314
0,0,0,0
4,17,30,234
28,58,88,363
0,0,0,0
10,40,70,300
29,59,89,364
30,60,90,365
0,0,0,202
15,35,64,154
6,27,57,57
0,0,0,0
0,0,0,0
30,60,90,365
0,0,0,0
7,25,54,54
30,60,90,365
0,0,0,66
26,46,62,330
3,17,32,106
30,60,90,336
0,0,0,0
21,46,76,76
0,0,0,220
28,58,88,363
0,0,0,0
0,11,41,131
28,58,88,88
20,44,74,74
1,12,19,146
18,45,75,344
0,0,0,0
0,0,0,0
0,0,0,192
11,41,71,310
1,10,30,91
23,53,83,358
0,5,34,34
0,0,26,301
10,26,49,262
28,58,88,363
29,59,88,88
30,60,90,350
14,32,53,309
27,57,87,362
10,19,32,299
30,60,90,365
30,54,83,358
28,55,83,226
23,44,68,343
28,56,56,295
0,0,4,4
5,8,11,237
30,60,90,361
12,42,64,333
0,0,0,0
29,59,89,364
29,59,89,364
4,18,41,288
30,60,90,90
1,4,30,231
0,0,0,0
5,13,30,305
0,12,42,133
0,0,0,0
23,35,48,103
30,60,90,365
0,0,0,0
0,0,9,38
22,34,54,306
4,11,27,234
